"Variable","OR","CI_lower","CI_upper","P_value"
"(Intercept)",0.947757792995901,0.220932424559609,4.06569943716933,0.941078803647496
"MDS1",1.31215298175015,1.16309310777053,1.48031609508557,4.57295540212309e-05
"Age_group>= 65",2.63982059742953,1.94735566062605,3.57852082570929,9.27570410821191e-08
"GenderMale",0.178891355147305,0.129082892847914,0.247919118020884,1.68964518987545e-13
"RaceNon_hispanic_black ",0.524236464649213,0.289775433955891,0.948402930904553,0.033481791417357
"RaceNon_hispanic_white",1.0067742831335,0.582113386366609,1.74123200207702,0.980276240922945
"RaceOther",0.638623785812686,0.267920022019781,1.52224658960208,0.303436724759918
"RaceOther_hispanic",0.835075163659487,0.305810175417997,2.28033788610122,0.719110736447286
"PIRPoor",0.912739996144714,0.637793537344783,1.30621314231331,0.609901353214278
"PIRRich",0.652958768038051,0.477764439516341,0.892396163241838,0.00867366919252586
"Marital_statusunMarried",0.770499715288988,0.532565631675394,1.11473549164784,0.161665937777201
"BMI",0.942632238794067,0.91550863533199,0.970559428193378,0.000194708494729603
"StrokeYes",1.31711370657341,0.706272613374043,2.45625907502772,0.377496764791307
"HypertensionYes",1.28782623633584,0.859813679383103,1.92890210374981,0.213345382633647
"DiabetesYes",0.752933107319226,0.473506476624913,1.19725556477755,0.223788206244417
"TG",1.01607522441234,0.866713528179147,1.19117658614783,0.840568052461203
"TC",0.997393277157671,0.992684171955503,1.00212472146066,0.272031769996115
"HbA1C",1.0316881535895,0.903490382128601,1.17807612268021,0.637615466720803
"MAGN",1.00049551575585,0.998558632350765,1.00243615609338,0.608618091544696
"CALC",1.00013107823157,0.99955359580321,1.00070889429482,0.649337263112785
"PHOS",0.999643184609277,0.999025022432963,1.00026172928299,0.250870211810614
