"","Estimate","Std. Error","t value","Pr(>|t|)","OR","OR_lci95","OR_uci95"
"MDS1",0.332594165949553,0.0386349446549016,8.60863575502382,1.64618193800456e-11,1.39458121506642,1.29287662089148,1.50428643691855
"Age_group>= 65",1.58818534763631,0.108507888324458,14.6365888430835,6.77860655474202e-20,4.89485839779369,3.95709387744488,6.05485729591089
"GenderMale",-1.870608821878,0.0983452597290147,-19.0208336124422,8.23007115794191e-25,0.154029856516158,0.127025740628468,0.186774716533878
"RaceNon_hispanic_black ",-0.205915190964555,0.167039150720644,-1.2327360985505,0.223326676326734,0.813902099607993,0.586658777954445,1.1291685263043
"RaceNon_hispanic_white",0.437097541042192,0.150911119199543,2.8963905599576,0.00554747207293922,1.54820708342401,1.15178365759507,2.08107239355098
"RaceOther",0.524329004546643,0.278487955580612,1.88277084893486,0.0654413947978074,1.68932493864442,0.978722246259449,2.91586173629231
"RaceOther_hispanic",0.225495624092484,0.190174230847601,1.18573175286397,0.241223455890925,1.25294355133929,0.863081746825749,1.81890944700939
"PIRPoor",0.299525890729069,0.113830031358713,2.63134330329025,0.0112213410093162,1.34921897868727,1.0794147857911,1.68646184618989
"PIRRich",-0.164700086181156,0.0867153508930367,-1.89931868446584,0.0631854191944786,0.848148037263793,0.715579787030011,1.00527587021439
"Marital_statusunMarried",-0.233956123048149,0.093548422402501,-2.50090933700122,0.0156413054740663,0.791396539201648,0.658815975910296,0.950657702850884
"BMI",-0.0445698759059144,0.00828899667495148,-5.37699285615593,1.90445283499483e-06,0.956408767829589,0.940996076045651,0.972073906009504
