"Model","Color","NB_0.1","NB_0.2","NB_0.3","NB_0.4","NB_0.5"
"SVM","#56B4E9",0.0100616434866779,0.00143282897753324,0.000294753389663981,0.000152835090936879,-0.000458505272810637
"DT","#009E73",0,0,0,0,0
"MLP","#D55E00",0.0235111314891232,0.0123223292067859,0.0056658151568743,0.00191043863671099,0.000917010545621275
"XGB","#CC79A7",-0.0395333435223394,-0.169475011462632,-0.320331433811489,-0.308803301237964,-0.0829894543787254
"KNN","#0072B2",0.0161495746089969,0.0088835396607061,0.00458505272810637,-0.000611340363747517,-0.00114626318202659
"ENET","#20B2AA",0.0229252636405319,0.0124369555249885,0.00560031440361564,0.00145193336390035,-0.00114626318202659
"ADA","#FF1493",0.022772428549595,0.0124369555249885,0.00474880461125303,0.00382087727342198,0.000687757909215956
"RIDGE","#8B008B",0.0233837689133425,0.0119211370930766,0.00432304971507172,0.00137551581843191,-0.000687757909215956
