"","Estimate","Std. Error","t value","Pr(>|t|)","OR","OR_lci95","OR_uci95"
"MDSMedium",0.588712950362873,0.0972496183380205,6.0536273604347,1.80665655353714e-07,1.80166808627212,1.48899842868665,2.17999416960738
"MDSHigh",0.539927648922227,0.11223547913532,4.81066818693977,1.42442862764535e-05,1.71588271173018,1.37705355266838,2.1380820482321
"Age_group>= 65",1.69006705336747,0.105395588214743,16.0354629827956,2.38911650301214e-21,5.4198441117461,4.40831134193384,6.66348356936665
"GenderMale",-1.84393183682797,0.0978056999901309,-18.8530099678652,2.25886155265173e-24,0.158194207901056,0.13059804797964,0.191621603849268
"RaceNon_hispanic_black ",-0.112784590264315,0.166777633036866,-0.676257290684679,0.50199365031419,0.893343074186826,0.644249792830552,1.2387459911958
"RaceNon_hispanic_white",0.51254301883038,0.148615413367275,3.44878776176281,0.00115195666821144,1.66953145105314,1.24764379512051,2.23407937181811
"RaceOther",0.55281412639834,0.278031599574546,1.98831401626389,0.0522650895450211,1.73813748046408,1.00790325839834,2.99743241806251
"RaceOther_hispanic",0.243749368654852,0.188900275568436,1.29036004802727,0.202861221526089,1.27602447867715,0.881178404339048,1.84779661208856
"PIRPoor",0.308819001425567,0.112128566557913,2.75415097959061,0.00818372137155039,1.36181586146564,1.09313204431841,1.69654018485547
"PIRRich",-0.179502374193715,0.0868647482585648,-2.06645823296928,0.0439841749823201,0.835685966860432,0.70485915182103,0.99079515872524
"Marital_statusunMarried",-0.248307781596182,0.0927158018196578,-2.67816032135673,0.00999044702715342,0.780119799806862,0.65048908981889,0.935583565621588
"BMI",-0.0417764318606744,0.00799466844407472,-5.22553651260387,3.39603108041743e-06,0.959084177270425,0.944172891329726,0.974230956573036
