"","Estimate","Std. Error","t value","Pr(>|t|)","OR","OR_lci95","OR_uci95"
"MDS1",0.282717396016643,0.045368642499453,6.23155951867088,1.84399910378425e-07,1.32673016960174,1.21384724480486,1.45011075361004
"Age_group>= 65",1.47479653997507,0.113173327489338,13.0313084601494,2.37933480847666e-16,4.37014653234797,3.50074855363821,5.45545628929701
"GenderMale",-1.78639667236737,0.0930162000084385,-19.2052209422155,2.0470449834927e-22,0.16756286706593,0.139637091658832,0.201073468988843
"RaceNon_hispanic_black ",-0.308247217244184,0.169419432488499,-1.81943247428307,0.0759787532019896,0.734733656725268,0.527129355121458,1.02410070901951
"RaceNon_hispanic_white",0.462991471758886,0.154038000383985,3.00569645545089,0.00445723255550752,1.58881979252002,1.17477541247331,2.14879227663503
"RaceOther",0.470623477260804,0.278940083149807,1.68718483176207,0.0989824012654158,1.60099206425688,0.926724376864486,2.76584457450644
"RaceOther_hispanic",0.193830143126887,0.191467173298097,1.01234138358073,0.317171593606742,1.21389007787112,0.834063686743262,1.76668657870432
"PIRPoor",0.276826758028802,0.113531619015676,2.43832300137091,0.0190658597382796,1.31893785584729,1.05580634680314,1.64764785971815
"PIRRich",-0.139219885033582,0.087943102565027,-1.58306769914832,0.120908088714052,0.870036699374962,0.732282898690927,1.03370413212226
"Marital_statusunMarried",-0.209500965019775,0.0949902616068322,-2.20549940042176,0.0329455053294177,0.810988856812431,0.673220828387205,0.976949758743432
"BMI",-0.0495116525576298,0.00843866858611274,-5.86723510378279,6.16501955466857e-07,0.951694068401872,0.936082708162947,0.967565784447379
"StrokeYes",0.205451961207518,0.175748591535971,1.16901057022393,0.248991563694308,1.2280799840653,0.870214733039355,1.73311297775239
"HypertensionYes",0.253449497240183,0.107574165630404,2.35604427656885,0.023212996721469,1.28846230693971,1.04352471566269,1.59089199468566
"DiabetesYes",-0.131488044647791,0.16449195143245,-0.799358530935711,0.428580284981059,0.8767897574055,0.635151154740128,1.21035799581555
"TG",-0.0427095594988414,0.0478521813506966,-0.89253108830784,0.377193776756102,0.958189646737775,0.872406464253606,1.05240783595176
"TC",0.000459377878197582,0.00110865348793142,0.414356589500935,0.680721657432058,1.00045948340837,0.99828788438687,1.0026358063601
"HbA1C",0.14706118305154,0.0433288139007943,3.3940735924194,0.00151360422993703,1.15842483682819,1.06410780662849,1.26110164235355
"MAGN",0.000673228267049033,0.000726152737720379,0.927116613458633,0.359163307820984,1.00067345493606,0.999250250104134,1.00209868679975
"CALC",-0.000138729622174086,0.000144562488375954,-0.959651592419335,0.342722809343595,0.999861280000335,0.999578016960507,1.00014462331199
"PHOS",-0.000305790264562934,0.000197898632402827,-1.5451863454038,0.129803606868982,0.999694256484515,0.99930656895044,1.00008209442451
