"","Estimate","Std. Error","t value","Pr(>|t|)","OR","OR_lci95","OR_uci95"
"MDSMedium",0.350986607338584,0.123084700637933,2.8515859852562,0.00678299273102665,1.42046830193378,1.11598853888295,1.80802053649969
"MDSHigh",0.195848432922875,0.157706611958534,1.24185302372973,0.22134803578244,1.21634253387971,0.892921572673804,1.65690829407856
"Age_group>= 65",1.72726890411094,0.127524951996063,13.5445563952399,9.96296218153379e-17,5.62526975908329,4.38118834046465,7.22262030376467
"GenderMale",-1.76480807606211,0.108842398141433,-16.2143439155839,1.94425279951488e-19,0.171219644480134,0.138326398995505,0.211934720116991
"RaceNon_hispanic_black ",-0.169153210451704,0.190543834401462,-0.887739091548405,0.379859475726391,0.844379525706738,0.5812239583758,1.22668168295249
"RaceNon_hispanic_white",0.571419642527779,0.166196739616644,3.4382121084074,0.00135664184966905,1.77077914125329,1.27848276226698,2.45264062969269
"RaceOther",0.550418171795133,0.304302388294746,1.80878689411402,0.0778214874791626,1.73397796695936,0.955028105336648,3.14826293917358
"RaceOther_hispanic",0.225402148163741,0.226579392785455,0.994804273207542,0.325666628512519,1.25282643675095,0.803568004777089,1.95325606705494
"PIRPoor",0.19746693585317,0.131435991380781,1.50238099761497,0.140662395563563,1.21831278183098,0.941625532567354,1.57630181323334
"PIRRich",-0.118570402996903,0.107385127200747,-1.1041603813091,0.275961797085915,0.888189282268272,0.719610451974748,1.0962600653887
"Marital_statusunMarried",-0.183549332398269,0.104117392545764,-1.76290750191032,0.0853689383939915,0.832310814836485,0.678670581357504,1.02073275536436
"BMI",-0.0464901153578709,0.00881904223264019,-5.27156057670369,4.66402312733063e-06,0.954573996145674,0.93821566333653,0.971217545949964
"StrokeYes",0.283423611899067,0.185091972683837,1.53125825928277,0.133385825685505,1.32766745844438,0.923710420154349,1.90828298755969
"HypertensionYes",0.307287287993848,0.100073923407679,3.07060298557523,0.00378252410661098,1.35973154651321,1.11755403311205,1.65438969732379
"DiabetesYes",-0.128093057830807,0.172387542579925,-0.743052867473982,0.461686305934812,0.879771505707294,0.627524452073588,1.23341472941315
"TG",-0.0311214169938585,0.0503115085291884,-0.618574515129145,0.539618327140943,0.969357869412081,0.878330815123407,1.06981864100841
"TC",0.00022571721965729,0.001272821875544,0.177336062487784,0.860117631597687,1.00022574269571,0.997733558609208,1.00272415187253
"HbA1C",0.162854030328788,0.0480472772401768,3.38945388132443,0.00155894276611207,1.1768648905689,1.07109486853242,1.293079643404
"MAGN",0.000867852549456944,0.000771348296925903,1.12511112413892,0.267085499132274,1.00086822924244,0.999356217204609,1.00238252893343
"CALC",-0.00010744345527418,0.00016333345329042,-0.657816589986236,0.514332605349332,0.999892562316567,0.999572514374305,1.00021271273332
"PHOS",-0.000350624588227677,0.000220963768833865,-1.58679674083265,0.120242033957932,0.99964943687339,0.999216593448131,1.00008246779897
