"Variable","OR","CI_lower","CI_upper","P_value"
"(Intercept)",0.569923396213935,0.224826658159016,1.44472492813682,0.230414290311716
"MDSMedium",1.99352566929946,1.65045686922879,2.40790575521848,1.780919985498e-09
"MDSHigh",2.35184058362398,1.73624708706221,3.18569526883393,7.34736674502335e-07
"Age_group>= 65",2.97249697225781,2.24432545843005,3.93692377230468,3.55557542285346e-10
"GenderMale",0.174793118407689,0.131947853643852,0.23155082404865,5.99205456857023e-17
"RaceNon_hispanic_black ",0.580132235972942,0.314329562307451,1.07070238237973,0.0803856951697258
"RaceNon_hispanic_white",1.03020892435615,0.577567019845981,1.83758835140221,0.918139393632596
"RaceOther",0.655839167400511,0.276365936933422,1.55636044828569,0.331587211655989
"RaceOther_hispanic",0.871676203072699,0.327229307996501,2.32197845497189,0.779451006820748
"PIRPoor",0.926295304864618,0.643467041570315,1.33343735791085,0.674763022514739
"PIRRich",0.624674101389796,0.454436956208289,0.858683977207818,0.00456114084370157
"Marital_statusunMarried",0.75133282271321,0.520035673050505,1.08550439852494,0.124903261555284
"BMI",0.9457696993084,0.9199560280911,0.972307693864391,0.000180030201078598
