"","Estimate","Std. Error","t value","Pr(>|t|)","OR","OR_lci95","OR_uci95"
"MDS1",0.330227060260115,0.0544657568079533,6.06302160501501,1.63381447833717e-07,1.39128399790818,1.25041335033123,1.54802502894153
"Age_group>= 65",1.74770075839051,0.129132617245724,13.534154233588,1.64795469000273e-18,5.74138665332385,4.45755686840664,7.39497479810014
"GenderMale",-1.87172548453215,0.114239754217208,-16.3841869002394,5.79843791592606e-22,0.153857953124673,0.122992069315541,0.192469887460645
"RaceNon_hispanic_black ",-0.172723846937599,0.188654609304729,-0.915555933534614,0.364208739603287,0.841369929648609,0.581300827248598,1.21779176174158
"RaceNon_hispanic_white",0.469854081263626,0.167097930309073,2.81184859916912,0.00697432807559013,1.59976074111941,1.15297105610957,2.21968662202369
"RaceOther",0.584442911498108,0.303968698835208,1.92270754764442,0.0601099033023315,1.79399129528466,0.988728269176263,3.255095325876
"RaceOther_hispanic",0.237696488055963,0.225881232651026,1.05230737970689,0.297619022069694,1.2683241828619,0.81462228436211,1.97471424942904
"PIRPoor",0.223318045110504,0.132403945777571,1.68664191840371,0.0977808658165242,1.25021813627653,0.964453471735324,1.62065401191661
"PIRRich",-0.126850104481693,0.1060574294188,-1.19605109398595,0.237207867234399,0.880865700522451,0.71553650133576,1.08439524875169
"Marital_statusunMarried",-0.203004225219148,0.104880237304126,-1.93558129193099,0.0584722563456399,0.81627479247844,0.664600287590033,1.00256432216102
"BMI",-0.0423703969812189,0.00862554191781659,-4.91220115616159,9.69585719723421e-06,0.958514683867812,0.942446185276352,0.974857146799111
