"","Estimate","Std. Error","t value","Pr(>|t|)","OR","OR_lci95","OR_uci95"
"MDSMedium",0.440127935080715,0.117826504063393,3.73538991570111,0.000481376822415682,1.55290587694208,1.23267670408988,1.95632533221414
"MDSHigh",0.363294808384992,0.141186827706367,2.57314945230269,0.0130914328958088,1.43805974882711,1.09042619682611,1.89652068816398
"Age_group>= 65",1.88516170193451,0.118821320150416,15.8655172282894,3.73528898650976e-21,6.58741955438278,5.2188230881801,8.31491998334762
"GenderMale",-1.8393321314005,0.113949662045581,-16.141619890586,1.81013299285019e-21,0.158923530706892,0.12711368073507,0.198693708389928
"RaceNon_hispanic_black ",-0.0552310805319744,0.18437449469859,-0.299559223862631,0.765755152126689,0.94626645893035,0.659281225197727,1.35817641557749
"RaceNon_hispanic_white",0.550657694850732,0.163602039704571,3.36583636637475,0.00147346173728267,1.7343933444046,1.25859711141446,2.39005814158776
"RaceOther",0.617288906180418,0.302713905810295,2.03918252294383,0.0467349989377936,1.85389513893969,1.02425923196268,3.35552473332206
"RaceOther_hispanic",0.259535136540952,0.223338484098732,1.16207082531383,0.250723763825897,1.29632733136985,0.836768112987034,2.00827986149912
"PIRPoor",0.223550453510528,0.132999774471636,1.68083332771517,0.0990328629970664,1.25050873124031,0.963551728498795,1.6229248940735
"PIRRich",-0.142137559956433,0.106655788782521,-1.3326755310606,0.188679842977887,0.867501914752182,0.703855002799163,1.06919687876884
"Marital_statusunMarried",-0.218319691241943,0.104271341970212,-2.09376504720072,0.0413723602506661,0.803868410892868,0.655280741955112,0.986148959762487
"BMI",-0.0398587514778097,0.00847813959970647,-4.70135588227277,2.06658973438292e-05,0.960925158825615,0.945089256058316,0.977026407765086
